"Name","Organization","Homepage","Logo","Twitter","Crunchbase URL","Market Cap","Ticker","Funding","Member","Relation","License","Headquarters","Latest Tweet Date","Description","Crunchbase Description","Crunchbase Homepage","Crunchbase City","Crunchbase Region","Crunchbase Country","Crunchbase Twitter","Crunchbase Linkedin","Crunchbase Ticker","Crunchbase Kind","Crunchbase Min Employees","Crunchbase Max Employees","Category","Subcategory","OSS","Github Repo","Github Stars","Github Description","Github Latest Commit Date","Github Latest Commit Link","Github Release Date","Github Release Link","Github Start Commit Date","Github Start Commit Link","Github Contributors Count","Github Contributors Link"
"Envoy","Cloud Native Computing Foundation (CNCF)","https://www.envoyproxy.io","https://landscape.cncf.io/logos/envoy.svg","https://twitter.com/envoyproxy","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","graduated","Apache License 2.0","San Francisco, California","2018-12-26 22:05:00","C++ front/service proxy","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Orchestration & Management","Service Proxy",true,"https://github.com/envoyproxy/envoy",7752,"C++ front/service proxy","","https://github.com/envoyproxy/envoy/commit/1083817e56b384a5095f814c844e24cbe3889c72","",,"2016-08-08 15:07:25","https://github.com/envoyproxy/envoy/commit/a714b9c2b0a2acc9da44098cabff69586134a0dd",253,"https://github.com/envoyproxy/envoy/graphs/contributors"
"Kubernetes","Cloud Native Computing Foundation (CNCF)","https://kubernetes.io/","https://landscape.cncf.io/logos/kubernetes.svg","https://twitter.com/kubernetesio","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","graduated","Apache License 2.0","San Francisco, California","2018-12-26 21:15:00","Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Orchestration & Management","Scheduling & Orchestration",true,"https://github.com/kubernetes/kubernetes",45871,"Production-Grade Container Scheduling and Management","","https://github.com/kubernetes/kubernetes/commit/dfaf10f46955158c2715875a23c2352713a3162b","2018-12-19 11:02:46","https://github.com/kubernetes/kubernetes/releases","2014-06-06 23:40:48","https://github.com/kubernetes/kubernetes/commit/2c4b3a562ce34cddc3f8218a2c4d11c7310e6d56",1912,"https://github.com/kubernetes/kubernetes/graphs/contributors"
"Prometheus","Cloud Native Computing Foundation (CNCF)","https://prometheus.io/","https://landscape.cncf.io/logos/prometheus.svg","https://twitter.com/PrometheusIO","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","graduated","Apache License 2.0","San Francisco, California","2018-12-26 21:36:18","The Prometheus monitoring system and time series database.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Observability and Analysis","Monitoring",true,"https://github.com/prometheus/prometheus",21047,"The Prometheus monitoring system and time series database.","","https://github.com/prometheus/prometheus/commit/d304269ac4875d9305fafc12b8eb58a1591f048d","",,"2012-11-24 11:14:12","https://github.com/prometheus/prometheus/commit/734d28b515026ca9f429eba0a7d09954bceb6387",304,"https://github.com/prometheus/prometheus/graphs/contributors"
"Container Network Interface (CNI)","Cloud Native Computing Foundation (CNCF)","https://github.com/containernetworking","https://landscape.cncf.io/logos/container-network-interface-cni.svg","https://twitter.com/cloudnativefdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-26 22:12:37","Container Network Interface - networking for Linux containers","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Runtime","Cloud-Native Network",true,"https://github.com/containernetworking/cni",1734,"Container Network Interface - networking for Linux containers","","https://github.com/containernetworking/cni/commit/213b3fdea2f66ad992ed9d4f363e1dd6044f1869","2018-06-13 15:08:47","https://github.com/containernetworking/cni/releases","2015-04-05 03:35:49","https://github.com/containernetworking/cni/commit/502be19aed3557ddb775fe133b095ad6e6eb87bf",76,"https://github.com/containernetworking/cni/graphs/contributors"
"containerd","Cloud Native Computing Foundation (CNCF)","https://containerd.io/","https://landscape.cncf.io/logos/containerd.svg","https://twitter.com/containerd","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-14 07:25:18","An open and reliable container runtime","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Runtime","Container Runtime",true,"https://github.com/containerd/containerd",3299,"An open and reliable container runtime","","https://github.com/containerd/containerd/commit/47b328aab79146a9e81e37704db60e7e04a09256","",,"2015-11-05 23:29:53","https://github.com/containerd/containerd/commit/15a96783ca2ac8c0eb2c400701e8eb335059c63b",162,"https://github.com/containerd/containerd/graphs/contributors"
"CoreDNS","Cloud Native Computing Foundation (CNCF)","https://coredns.io/","https://landscape.cncf.io/logos/core-dns.svg","https://twitter.com/corednsio","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-20 22:58:29","CoreDNS is a DNS server that chains plugins","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Orchestration & Management","Coordination & Service Discovery",true,"https://github.com/coredns/coredns",3094,"CoreDNS is a DNS server that chains plugins","","https://github.com/coredns/coredns/commit/38790c722258c135b1e518dfd2469dec12d32fb7","",,"2016-03-18 20:57:35","https://github.com/coredns/coredns/commit/3ec0d9fe6b133a64712ae69fd712c14ad1a71f4d",114,"https://github.com/coredns/coredns/graphs/contributors"
"etcd","Cloud Native Computing Foundation (CNCF)","https://github.com/etcd-io","https://landscape.cncf.io/logos/etcd.svg","https://twitter.com/cloudnativefdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-26 22:12:37","Distributed reliable key-value store for the most critical data of a distributed system","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Orchestration & Management","Coordination & Service Discovery",true,"https://github.com/etcd-io/etcd",22041,"Distributed reliable key-value store for the most critical data of a distributed system","","https://github.com/etcd-io/etcd/commit/6937b772326fd27af77072405af88b2356407431","",,"2013-06-07 00:43:32","https://github.com/etcd-io/etcd/commit/20ca21a3f7122cf7caa91cb0e9b9c69be9279950",470,"https://github.com/etcd-io/etcd/graphs/contributors"
"Fluentd","Cloud Native Computing Foundation (CNCF)","https://www.fluentd.org/","https://landscape.cncf.io/logos/fluentd.svg","https://twitter.com/fluentd","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-26 18:01:08","Fluentd: Unified Logging Layer (project under CNCF)","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Observability and Analysis","Logging",true,"https://github.com/fluent/fluentd",7189,"Fluentd: Unified Logging Layer (project under CNCF)","","https://github.com/fluent/fluentd/commit/970b47062720ebfac0ae16493bb266749881d6a8","2018-12-11 03:28:10","https://github.com/fluent/fluentd/releases","2011-06-18 22:36:35","https://github.com/fluent/fluentd/commit/5c14d05ff44d08d180f5d6de8bbedf3f84a23d25",152,"https://github.com/fluent/fluentd/graphs/contributors"
"gRPC","Cloud Native Computing Foundation (CNCF)","https://grpc.io/","https://landscape.cncf.io/logos/g-rpc.svg","https://twitter.com/grpcio","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-21 21:57:55","The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Orchestration & Management","Remote Procedure Call",true,"https://github.com/grpc/grpc",18678,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)","","https://github.com/grpc/grpc/commit/fc7d0911a3a44d7bc926d3db99b7300a0c0f33dc","",,"2014-11-22 00:16:16","https://github.com/grpc/grpc/commit/0e905e63db21bcdd85d3d1af051fcdc5bb5caa38",399,"https://github.com/grpc/grpc/graphs/contributors"
"Harbor","Cloud Native Computing Foundation (CNCF)","https://goharbor.io/","https://landscape.cncf.io/logos/harbor.svg","https://twitter.com/project_harbor","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Other","San Francisco, California","2018-12-19 15:27:22","An open source trusted cloud native registry project that stores, signs, and scans content.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Provisioning","Container Registry",true,"https://github.com/goharbor/harbor",6453,"An open source trusted cloud native registry project that stores, signs, and scans content.","","https://github.com/goharbor/harbor/commit/9825711250361203b6ee1cbe59f762f7b9615c1f","",,"2016-02-01 11:59:10","https://github.com/goharbor/harbor/commit/f859348ac6230bda564f608e934f67359233a4b3",116,"https://github.com/goharbor/harbor/graphs/contributors"
